Customer ID,first_name,last_name,state
894,Ursula,Lee,Wisconsin
895,Samuel,Clark,Wisconsin
896,Patrick,Scott,Wisconsin
897,Mia,Davis,Wisconsin
898,Jake,Davis,Wisconsin
889,Tara,Sanchez,West Virginia
890,Rachel,Davis,West Virginia
891,Olivia,Adams,West Virginia
892,Leo,Smith,West Virginia
893,Isla,Smith,West Virginia
884,Samuel,Walker,Washington
885,Quinn,Walker,Washington
886,Noah,Reed,Washington
887,Kayla,Reed,Washington
888,Henry,Green,Washington
879,Rachel,Brooks,Virginia
880,Patrick,Hall,Virginia
881,Mia,Martin,Virginia
882,Jake,Green,Virginia
883,Gina,Reed,Virginia
874,Quinn,Hayes,Vermont
875,Olivia,Hughes,Vermont
876,Leo,Green,Vermont
877,Isla,Brown,Vermont
878,Felix,Davis,Vermont
869,Patrick,Murphy,Utah
870,Noah,Foster,Utah
871,Kayla,Lewis,Utah
872,Henry,Smith,Utah
873,Ella,Brown,Utah
701,Olivia,Barnes,Texas
702,Mia,Cooper,Texas
703,Jake,Scott,Texas
704,Gina,Davis,Texas
705,Daniel,Johnson,Texas
706,Leo,Davis,Texas
707,Patrick,Smith,Texas
708,Tara,Reed,Texas
709,Xavier,Brown,Texas
710,Brian,Davis,Texas
711,Fred,Davis,Texas
712,Jack,Johnson,Texas
713,Nathan,Davis,Texas
714,Rachel,Johnson,Texas
715,Victoria,Davis,Texas
716,Zackary,Smith,Texas
717,Daniel,Davis,Texas
718,Henry,Reed,Texas
719,Leo,Reed,Texas
720,Patrick,Reed,Texas
721,Tara,Reed,Texas
722,Xavier,Reed,Texas
723,Brian,Smith,Texas
724,Fred,Brown,Texas
725,Jack,Davis,Texas
726,Nathan,Reed,Texas
727,Rachel,Johnson,Texas
728,Victoria,Smith,Texas
729,Zackary,Davis,Texas
730,Daniel,Reed,Texas
731,Henry,Davis,Texas
732,Brian,Wright,Texas
733,Frank,Rivera,Texas
734,Jack,Hughes,Texas
735,Nathan,Foster,Texas
736,Rachel,Bailey,Texas
737,Victor,Adams,Texas
738,Zackary,Walker,Texas
